index,topYear,rank,trackId,trackName,artistName,albumId,albumName,genres,popularity,tempo,energy,danceability,loudness,speechiness,instrumentalness,duration_ms,valence,explicit,duration_m,topGenre
0,2009,1,4kLLWz7srcuLKA7Et40PQR,I Gotta Feeling,Black Eyed Peas,1dgbFU08pXJXZhGPlybdMX,THE E.N.D. (THE ENERGY NEVER DIES) [Deluxe Version],"['dance pop', 'pop', 'pop dance', 'pop rap']",81,127.96,0.766,0.743,-6.375,0.0265,0.0,289133,0.61,False,5.0,pop
1,2009,2,1QV6tiMFM6fSOKOGLMHYYg,Poker Face,Lady Gaga,1qwlxZTNLe1jq3b0iidlue,The Fame,"['dance pop', 'pop', 'pop dance']",77,118.999,0.806,0.851,-4.62,0.0787,1.64e-06,237200,0.787,False,4.0,pop
2,2009,3,4kgTdThcDHfuDS2kKxB7Lc,You Belong With Me,Taylor Swift,2gP2LMVcIFgVczSJqn340t,Fearless (Platinum Edition),"['dance pop', 'pop', 'pop dance']",61,129.964,0.771,0.687,-4.424,0.0384,2.46e-05,231146,0.445,False,4.0,pop
3,2009,4,0iGckQFyv6svOfAbAY9aWJ,Hot N Cold,Katy Perry,3OALgjCs6Lqw41853v4wEQ,One Of The Boys,"['dance pop', 'pop', 'pop dance', 'post-teen pop']",71,132.032,0.841,0.706,-3.956,0.0418,0.0,220226,0.861,False,4.0,pop
4,2009,5,3GpbwCm3YxiWDvy29Uo3vP,Right Round,Flo Rida,2vBLKFrI1rZqB7VtGxcsR5,R.O.O.T.S. (Route of Overcoming the Struggle),"['dance pop', 'miami hip hop', 'pop', 'pop dance', 'pop rap']",74,124.986,0.672,0.72,-6.852,0.0551,0.0,204640,0.705,False,3.0,pop
5,2009,6,3E7dfMvvCLUddWissuqMwr,Party In The U.S.A.,Miley Cyrus,0IuHVgAvbNDJnJepuSZ8Oz,The Time Of Our Lives (International Version),"['dance pop', 'pop', 'pop dance', 'post-teen pop']",79,96.021,0.698,0.652,-4.667,0.042,0.000115,202066,0.47,False,3.0,pop
6,2009,7,1D4PL9B8gOg78jiHg3FvBb,Love Story,Taylor Swift,3EzFY9Rg0PpbADMth746zi,Fearless (Big Machine Radio Release Special),"['dance pop', 'pop', 'pop dance']",77,118.984,0.741,0.617,-3.97,0.0311,0.0,236266,0.306,False,4.0,pop
7,2009,8,2igwFfvr1OAGX9SKDCPBwO,Empire State Of Mind,JAY-Z,2CUT0104gySOIvqwtXeFsX,The Blueprint 3,"['east coast hip hop', 'hip hop', 'pop rap', 'rap']",80,173.585,0.956,0.491,-1.538,0.392,0.0,276920,0.811,True,5.0,hip hop
8,2009,9,7LP4Es66zdY7CyjepqmvAg,Down,Jay Sean,3v0AeWgJPrdPPZGt1tS2s0,All Or Nothing,"['dance pop', 'desi pop', 'pop', 'pop rap', 'post-teen pop', 'urban contemporary']",79,65.997,0.695,0.657,-4.493,0.0321,0.0,212106,0.683,False,4.0,pop
9,2009,10,0HPD5WQqrq7wPWR7P7Dw1i,TiK ToK,Kesha,6fpLLJsDSSAlToEDW2jv4F,Animal (Expanded Edition),"['dance pop', 'electropop', 'pop', 'pop dance', 'post-teen pop']",81,120.028,0.837,0.755,-2.718,0.142,0.0,199693,0.714,False,3.0,pop
