rank,trackId,trackName,artistName,albumId,albumName,genres,popularity,tempo,energy,danceability,loudness,speechiness,instrumentalness,duration_ms,valence,explicit,duration_m,topGenre
1,36CiGk9oRdwTnBDMgKEfjl,Dámelo To’ (feat. Myke Towers),Selena Gomez,2jGa3OwXatFYQAIS7OV7k9,Revelación - EP,"['dance pop', 'pop', 'pop dance', 'post-teen pop']",73,182.003,0.641,0.787,-7.376,0.315,0.00534,184134,0.437,False,3.0,pop
2,45kgqMRkC29qjBlzeaJcad,Street Runner,Rod Wave,1aYz6lWTYHwEz9sfA1Cvrw,Street Runner,['florida rap'],69,160.004,0.61,0.613,-8.633,0.246,0.000361,252021,0.433,True,4.0,rap
3,1NsoJ2lSWD61hD4hRY5Qby,"CINDERELLA, Pt. 2",CHIKA,22UE2Lc7VdTqbkGmNBtMDu,ONCE UPON A TIME,"['alabama rap', 'alternative r&b']",54,176.959,0.317,0.58,-10.769,0.137,3.45e-06,130882,0.338,False,2.0,r&b
4,5JycxhApZmzbA4xSwvqh6k,All To Me,Giveon,1otOJAtgvO5VCBL4Gykrrd,When It's All Said And Done... Take Time,"['alternative r&b', 'pop']",66,116.161,0.543,0.523,-8.39,0.156,0.0,127807,0.318,False,2.0,r&b
5,2eFjKl5cyPPYElDByCh6Tb,First Time,ILLENIUM,6GwqbWxgikcrhZn8M2M7sc,First Time,"['edm', 'electropop', 'melodic dubstep', 'pop', 'pop dance', 'tropical house']",66,155.085,0.667,0.526,-5.451,0.0437,0.0,165779,0.43,False,3.0,pop
6,33o0xXMPY41CWwDTnxyM5Z,2Drunk,Nick Jonas,3FTjOu2zQLWcl1NVos4eAq,Spaceman,"['dance pop', 'pop', 'pop dance', 'pop rock', 'post-teen pop', 'viral pop']",64,156.023,0.798,0.648,-6.088,0.179,0.0,192319,0.607,False,3.0,pop
7,2pn8dNVSpYnAtlKFC8Q0DJ,On The Ground,ROSÉ,5BQcoDfcZ8aBcikYX9B7Ob,R,[],76,188.7,0.607,0.311,-6.578,0.11,0.0,168085,0.286,False,3.0,other
8,7FdUvDkaE24o3FPIWTvzv2,Follow You,Imagine Dragons,1nz0PWfAcTQVbFtpU6u1UY,Follow You / Cutthroat,"['modern rock', 'rock']",73,124.912,0.732,0.542,-5.956,0.0521,7.92e-05,175643,0.489,False,3.0,rock
9,00selpxxljfn9n5Pf4K3VR,Show U Off,Brent Faiyaz,4vmD2mzd6e6UCvuQgKT00m,Show U Off,"['dmv rap', 'rap']",63,84.997,0.405,0.583,-11.295,0.0534,0.00391,251132,0.549,True,4.0,rap
10,3AO2MYgrCiTorCUura1szR,Fck Boys,Blxst,2c8AZI8aUhi4zPNkcV44NE,Just for Clarity,['pop r&b'],62,98.368,0.491,0.63,-5.549,0.41,0.0,163200,0.497,True,3.0,r&b
11,1VyPvQratkf9ZiYN7FjPGz,Fast Car Music (STAIN),YBN Nahmir,52AqgEnN9pReNSDg1iGfGb,Fast Car Music (STAIN),"['alabama rap', 'rap', 'trap', 'vapor trap', 'viral rap']",54,144.034,0.675,0.816,-5.563,0.309,0.0,109990,0.169,True,2.0,rap
12,5RfrZ5Lgr3fdtgnvhh3va8,Can't Let You Go,Ali Gatie,4Mxvm1AvvhrohYFo1VlhXZ,Can't Let You Go,"['canadian hip hop', 'pop']",65,129.9,0.455,0.648,-7.122,0.0341,0.0,204156,0.183,False,3.0,hip hop
13,6LZ9FO9UsGIcTKbShnfNsG,Feels (feat. Khalid),WATTS,7zbaDQ3uGL5GyIyeUVkktz,Feels (feat. Khalid),[],68,167.682,0.35,0.548,-12.52,0.0579,0.0041,221974,0.0802,False,4.0,other
14,2NnJpRXIlx35Vij3bPZO0h,DAYWALKER! (feat. CORPSE),Machine Gun Kelly,2y8j3djW8ZswvAbEcPBBti,DAYWALKER! (feat. CORPSE),"['ohio hip hop', 'pop rap']",73,88.972,0.922,0.632,-2.173,0.0794,1.81e-05,137746,0.497,True,2.0,hip hop
15,2MZrOmrVxRmmOoFW6dhenG,LOST,NF,37vODwacugRbv9eutcOQEV,LOST,"['hip hop', 'pop rap', 'rap']",72,116.919,0.912,0.637,-3.123,0.308,0.0,234852,0.451,False,4.0,rap
16,2lVPHHSn8elKFEf1d6evFG,Summer's End - Spotify Singles,Phoebe Bridgers,1pBRAyTNXs1QRRAFRZ4Ygs,Spotify Singles,[],58,133.509,0.302,0.471,-13.722,0.0378,0.000201,234079,0.342,False,4.0,other
17,6X6fJzF0BGbUk6mhqNvgZZ,re: Stacks - Spotify Singles,Noah Cyrus,3pTs60Mj7DSSseycisLJxf,Spotify Singles,"['dance pop', 'pop', 'post-teen pop']",55,123.92,0.299,0.561,-11.392,0.0315,0.000143,309359,0.107,False,5.0,pop
18,0G5KlXqssFee9PDQYJ8PqL,Sade - Spotify Singles,D Smoke,7gpKIWEXYkDbsVhJnJItYb,Spotify Singles,[],50,134.985,0.542,0.592,-11.329,0.389,3.42e-05,146756,0.393,True,2.0,other
19,1VTwC3ckWtSWzNwCvWz1pT,My Future,CHIKA,0PNOAfrc2KfgKH2ZaKuNs7,Spotify Singles,"['alabama rap', 'alternative r&b']",48,115.022,0.232,0.444,-11.93,0.0412,8.37e-05,211626,0.356,True,4.0,r&b
20,1vqYqiZA1Su4GgqIO4oVSY,Addicted,Jorja Smith,7x3kXrzMt2FuKA5S0kbHas,Addicted,"['dance pop', 'pop', 'uk contemporary r&b']",44,134.051,0.388,0.673,-12.08,0.041,0.00637,204754,0.159,False,3.0,pop
21,0dhw2WjJZBsbBDv0Ipdgbw,"It's Raining, It's Pouring",Anson Seabra,7LJY01gIYwchl8f83rFv7g,"It's Raining, It's Pouring","['indie cafe pop', 'pop']",56,113.919,0.444,0.598,-8.683,0.0327,1.94e-05,183089,0.286,False,3.0,pop
22,5Td5Y4mFerZdmgs2mmGw9A,First Place,bülow,4t8vZxmCJHeUWcaQlKtBK6,First Place,"['dance pop', 'electropop', 'indie cafe pop', 'indie poptimism', 'indietronica', 'pop', 'social media pop']",57,165.076,0.642,0.666,-6.385,0.0445,0.0,153545,0.427,False,3.0,pop
23,5WXz2toRgsjW6XHDvTYQ9X,SHAPESHIFTER,THE BLOSSOM,1ubKaRZMSZTtkckIO0e72j,SHAPESHIFTER,[],47,116.06,0.705,0.606,-4.874,0.0374,0.0,193293,0.616,False,3.0,other
24,5me5yFJlnKZr2spcxSbCTW,PISTOLWHIP,spill tab,6pxLfWRnzSTLXt6HIDz5oI,PISTOLWHIP,"['indie r&b', 'modern indie pop']",48,139.925,0.544,0.447,-6.509,0.378,0.133,125642,0.625,False,2.0,r&b
